Symbol,Name,Sector,industry
ADES,"Advanced Emissions Solutions, Inc.",Basic Industries,Major Chemicals
AEGN,Aegion Corp,Basic Industries,Water Supply
AMRK,"A-Mark Precious Metals, Inc.",Basic Industries,Other Specialty Stores
AMRS,"Amyris, Inc.",Basic Industries,Major Chemicals
AMTX,"Aemetis, Inc",Basic Industries,Major Chemicals
AMWD,American Woodmark Corporation,Basic Industries,Forest Products
APWC,Asia Pacific Wire & Cable Corporation Limited,Basic Industries,Telecommunications Equipment
AQMS,"Aqua Metals, Inc.",Basic Industries,Metal Fabrications
BCPC,Balchem Corporation,Basic Industries,Major Chemicals
CADC,"China Advanced Construction Materials Group, Inc.",Basic Industries,Engineering & Construction
CDXS,"Codexis, Inc.",Basic Industries,Major Chemicals
CENX,Century Aluminum Company,Basic Industries,Aluminum
CETC,Hongli Clean Energy Technologies Corp.,Basic Industries,Steel/Iron Ore
CHNR,"China Natural Resources, Inc.",Basic Industries,Precious Metals
CRWS,"Crown Crafts, Inc.",Basic Industries,Textiles
CSWI,"CSW Industrials, Inc.",Basic Industries,Home Furnishings
CTIB,CTI Industries Corporation,Basic Industries,Specialty Chemicals
CVCO,"Cavco Industries, Inc.",Basic Industries,Homebuilding
DELT,Delta Technology Holdings Limited,Basic Industries,Major Chemicals
DELTW,Delta Technology Holdings Limited,Basic Industries,Major Chemicals
ERS,"Empire Resources, Inc.",Basic Industries,Metal Fabrications
EVGN,Evogene Ltd.,Basic Industries,Agricultural Chemicals
FHCO,Female Health Company (The),Basic Industries,Specialty Chemicals
FSTR,L.B. Foster Company,Basic Industries,Metal Fabrications
GEVO,"Gevo, Inc.",Basic Industries,Major Chemicals
GLDD,Great Lakes Dredge & Dock Corporation,Basic Industries,Military/Government/Technical
GOLD,Randgold Resources Limited,Basic Industries,Precious Metals
GPP,Green Plains Partners LP,Basic Industries,Major Chemicals
GPRE,"Green Plains, Inc.",Basic Industries,Major Chemicals
GURE,"Gulf Resources, Inc.",Basic Industries,Major Chemicals
HCCI,"Heritage-Crystal Clean, Inc.",Basic Industries,Miscellaneous
HYGS,Hydrogenics Corporation,Basic Industries,Major Chemicals
IOSP,Innospec Inc.,Basic Industries,Major Chemicals
LAYN,Layne Christensen Company,Basic Industries,Engineering & Construction
LMB,"Limbach Holdings, Inc.",Basic Industries,Engineering & Construction
LNDC,Landec Corporation,Basic Industries,Major Chemicals
MBII,"Marrone Bio Innovations, Inc.",Basic Industries,Agricultural Chemicals
MEOH,Methanex Corporation,Basic Industries,Major Chemicals
MERC,Mercer International Inc.,Basic Industries,Paper
MPVD,Mountain Province Diamonds Inc.,Basic Industries,Precious Metals
MRDN,"Meridian Waste Solutions, Inc",Basic Industries,Miscellaneous
MRDNW,"Meridian Waste Solutions, Inc",Basic Industries,Miscellaneous
MTRX,Matrix Service Company,Basic Industries,Engineering & Construction
MYRG,"MYR Group, Inc.",Basic Industries,Water Supply
NWPX,Northwest Pipe Company,Basic Industries,Steel/Iron Ore
OCC,Optical Cable Corporation,Basic Industries,Telecommunications Equipment
OSN,"Ossen Innovation Co., Ltd.",Basic Industries,Steel/Iron Ore
PAAS,Pan American Silver Corp.,Basic Industries,Precious Metals
PATK,"Patrick Industries, Inc.",Basic Industries,Forest Products
PEIX,"Pacific Ethanol, Inc.",Basic Industries,Major Chemicals
PESI,"Perma-Fix Environmental Services, Inc.",Basic Industries,Environmental Services
PGLC,Pershing Gold Corporation,Basic Industries,Precious Metals
PLPC,Preformed Line Products Company,Basic Industries,Water Supply
PRIM,Primoris Services Corporation,Basic Industries,Water Supply
REGI,"Renewable Energy Group, Inc.",Basic Industries,Major Chemicals
RGLD,"Royal Gold, Inc.",Basic Industries,Precious Metals
RGSE,"Real Goods Solar, Inc.",Basic Industries,Engineering & Construction
RKDA,"Arcadia Biosciences, Inc.",Basic Industries,Agricultural Chemicals
RTK,"Rentech, Inc.",Basic Industries,Agricultural Chemicals
SHLM,"A. Schulman, Inc.",Basic Industries,Major Chemicals
SMED,Sharps Compliance Corp,Basic Industries,Environmental Services
SNES,"SenesTech, Inc.",Basic Industries,Agricultural Chemicals
SRCL,"Stericycle, Inc.",Basic Industries,Environmental Services
SRCLP,"Stericycle, Inc.",Basic Industries,Environmental Services
SSRI,Silver Standard Resources Inc.,Basic Industries,Precious Metals
STLD,"Steel Dynamics, Inc.",Basic Industries,Steel/Iron Ore
STRL,Sterling Construction Company Inc,Basic Industries,Military/Government/Technical
SYMX,"Synthesis Energy Systems, Inc.",Basic Industries,Major Chemicals
SYNL,Synalloy Corporation,Basic Industries,Steel/Iron Ore
TANH,Tantech Holdings Ltd.,Basic Industries,Major Chemicals
TORM          ,TOR Minerals International Inc,Basic Industries,Major Chemicals
TVIA,"TerraVia Holdings, Inc.",Basic Industries,Major Chemicals
UFPI,"Universal Forest Products, Inc.",Basic Industries,Forest Products
